id,Date&Time,text
1874846126186332547,2025-01-02T15:52:04.000Z,"#Biocon arm Biocon Pharma receives approval for Tacrolimus capsules in #China
@jpullokaran"
1874847121553379789,2025-01-02T15:56:01.000Z,"#NHPC gets ₹250 crore payment under Mega Insurance Policy for Teesta-V power station loss
@jpullokaran"
1874843434814775319,2025-01-02T15:41:22.000Z,#JustIn | Indian Railway Finance Corporation Limited (#IRFC) has signed MoU With #REMCL to collaborate on financing Renewable Energy (#RE) projects
1874850631363793209,2025-01-02T16:09:58.000Z,"#JustIn | Period Of Investigation: January 2021 To June 2023

SEBI’s Allegation include traditional front running & use of complex trading strategies to take advantage of prior knowledge of impending trade"
1874775153730883786,2025-01-02T11:10:02.000Z,"#MarutiSuzuki shares are up 10% in the last three sessions; Is there scope for more upside?
@hormaz_fatakia"
1874829863724691924,2025-01-02T14:47:26.000Z,Akash Ambani commits to developing advanced #AIInfrastructure in #Jamnagar
1874840836212675038,2025-01-02T15:31:02.000Z,"#Karnataka hikes bus fares by 15%, effective January 5
@aspiringmind_"
1874823388230987986,2025-01-02T14:21:42.000Z,"'#Cowardly': PM #Modi condemns deadly #NewOrleans truck attack that killed 15

#neworleansattack #NewOrleansTragedy #NewOrleansHorror"
1874786182841950410,2025-01-02T11:53:52.000Z,"#NewsFlash | Commerce Minister Piyush Goyal to meet EV OEM’s on January 3, 2024, to discuss ways to increase spread of EV charging infrastructure in the country, sources to 
@abhhimanyus"
1874805253113327730,2025-01-02T13:09:39.000Z,"#FundFlow | #FIIs Net Buy ₹1,506.75 crore & #DIIs net buy ₹22.14 crore in equities today (provisional)"
1874770357506465932,2025-01-02T10:50:59.000Z,#Divi's Labs begins commercial operations at unit-III #Greenfield project in Andhra Pradesh
1874831855062778289,2025-01-02T14:55:21.000Z,"#XiaomiIndia appoints Sandeep Singh Arora as Chief Business Officer
@PihuYadav05"
1874817933236699349,2025-01-02T14:00:02.000Z,What are the eligibility criteria for the #PMKisanYojana?
1874801989449888118,2025-01-02T12:56:41.000Z,"#Q3BusinessUpdate | #V2Retail

#Q3FY25 Standalone Revenue Up 58% At ₹591 Cr Vs ₹373.8 Cr (YoY)

#Q3FY25 Same Store Sales Growth At 25% YoY

Total Number Of Stores As Of December 31, 2024, Stands At 160"
1874785620406714452,2025-01-02T11:51:38.000Z,"#Q3BusinessUpdate | #AvenueSupermarts

Q3FY25 Standalone Revenue At ₹15,565.23 Cr Vs ₹ 13,247.33 Cr (YoY)

Total Number Of Stores As Of December 31,2024, Stood At 387"
1874794884311449877,2025-01-02T12:28:27.000Z,"Need an #ambulance in 10 minutes? #Blinkit’s service debuts in #Gurugram
@sheersh0510"
1874775031726866599,2025-01-02T11:09:33.000Z,"#JustIn | Varun Beverages invests ₹413 crore in arm The Beverage Company Proprietary, South Africa"
1874805688926691507,2025-01-02T13:11:23.000Z,#JustIn | #Pricol board approves #divestment of wiping business division of the company to Auto Ignition on a slump sale basis
1874791146460987808,2025-01-02T12:13:35.000Z,"#JustIn | Arun Krishnamurthi resigns as MD & CEO of Axiscades Technologies w.e.f. January 2, 2025"
